name,address,latitude,longitude
Guangzhou Huangpu Campus,"31 Kefeng Road, Huangpu, Guangzhou, Guangdong Province, China",23.14676,113.4572
CKG1 Chongqing Shi Data Center,"Huixing Telecommunication, 236省道 Huilai, Jieyang, Guangdong, China",22.9655781,116.317563
Shantou Zhuchi IDC Data Center,"China Telecom (Zhuchi Customer Service Center), Longhu Qu, Shantou Shi, Guangdong Sheng, China",23.3724805,116.7358786
Guangdong Dongchong Data Center,"Nansha, Guangzhou, Guangdong, China",22.801624,113.525165
Shenzhen Longgang IDC Data Center,"Longgang Central City, Longgang, Shenzhen, Guangdong, China",22.717947,114.228964
Guangzhou Data Center,"163 Pingyun Road, Tianhe District, Guangzhou, Guangdong Province, China",23.11975,113.35165
Foshan Information Building IDC Data Center,"Foshan Information Building, Chancheng Qu, Foshan Shi, Guangdong Sheng, China",22.9968828,113.1078607
Foshan Data Center,"46 Zumiao Road, Zumiao Temple, Chancheng, Foshan, Guangdong, China",23.027959,113.110838
Changzhou West IDC Data Center,"Bank of Communications (Dongshan Sub-branch), Yuexiu Qu, Guangzhou Shi, Guangdong Sheng, China",23.1244725,113.2829446
Guangzhou Data Center (GZ1),"S China Innovation Park Charging, Kefeng Road, 33, Huangpu, Guangzhou, Guangdong Province, China",23.1498797,113.4597533
GDS SZ3 Data Center,"Hongliu Rd, Futian, Shenzhen, Guangdong, China",22.5057708,114.0507869
Shenzhen Luohu East Gate IDC Data Center,"Postal Savings Bank of China, 电信大厦 Telecom Mansion, Shennan East Road, Ren Min Nan Lu, Luohu Qu, Shenzhen Shi, Guangdong Sheng, China",22.5440256,114.1213842
Yunfu IDC Data Center,"China, Guangdong Province, Yunfu, Yuncheng, 兴云西路90号",22.9306835,112.0331658
Shenzhen Data Center (SZ8),"Changfeng Industrial Park, Liuxian Boulevard, Baoan, Shenzhen, Guangdong Province, China",22.581199,113.926681
Qingyuan Data Integration Data Center,"Qingcheng, Qingyuan, Guangdong, China",23.697898,113.062692
Foshan Shunde IDC Data Center,"Shunde Qu, Foshan Shi, Guangdong, China",22.80524,113.293359
Shenzhen High-Tech Zone IDC Data Center,"Software Building, Gaoxin Middle 1st Road, Nanshan Qu, Shenzhen Shi, Guangdong Sheng, China",22.5492809,113.9411954
Guangzhou Data Center (GZ3),"S China Innovation Park Charging, Kefeng Road, 33, Huangpu, Guangzhou, Guangdong Province, China",23.1498797,113.4597533
Qixinggang IDC Data Center,"China Telecom, Shiliugang Road, Haizhu Qu, Guangzhou Shi, Guangdong Sheng, China",23.0817196,113.3468267
GDS SZ4 Data Center,"Caiyun Rd, Long Gang Zhong Xin Cheng, Longgang, Shenzhen, Guangdong, China",22.7035446,114.2466493
Shaoguan Xinhua North IDC Data Center,"Xinhua N Rd, Wujiang, Shaoguan, Guangdong, China",24.8037768,113.5883864
Shenzhen Runxun Qianhai Data Center,"Bao'an, Shenzhen, Guangdong, China",22.555259,113.884019
Guangdong Telecom Building IDC Data Center,"Hui Xue Lu, Nan Tou, Nanshan Qu, Shenzhen Shi, Guangdong Sheng, China",22.5334577,113.9262271
Foshan Qinren IDC Data Center,"Qin Ren Lu, Zu Miao, Chancheng Qu, Foshan Shi, Guangdong Sheng, China",23.0349268,113.1072135
CAN5 Guangzhou Data Center,"China, Guangdong Province, Guangzhou, Huangpu, Kefeng Road, 华南新材料创新园",23.1518189,113.4625765
Zhaoqing IDC Data Center,"Shigouzhen, Sihui, Zhaoqing, Guangdong, China",23.371822,112.586445
Yangjiang IDC Data Center,"168 Dongfeng 3rd Rd, Yangdong District, Yangjiang, Guangdong Province, China, 529566",21.8664239,111.9966658
Shenzhen Fuyong IDC Data Center,"315-1 Qiaohe Rd, Baoan Qu, Shenzhen Shi, Guangdong Sheng, China, 518125",22.6878046,113.7972466
Guangdong Zhongneng Data Center,"Huangpu, Guangzhou, Guangdong, China",23.106401,113.459749
Foshan Sanshui IDC Data Center,"Sanshui, Foshan, Guangdong, China",23.156045,112.896606
Guangzhou Shiji Aircraft Building IDC Data Center,"Jinlong Rd, Panyu, Guangzhou, Guangdong, China",22.9725233,113.4284494
Guangdong Telecom Maoming Data Center,"Maonan, Maoming, Guangdong, China",21.641337,110.918026
Guangzhou Huadiwan IDC Data Center,"China Telecom, China Telecom (Huadiwan Office), Huadi Middle Avenue, Liwan Qu, Guangzhou Shi, Guangdong Sheng, China",23.0811918,113.2346346
Shenzhen Data Center (SZ5),"Dongchang Road, Dongchang Road, 宝安区 Shenzhen, Guangdong Province, China, 518107",22.739344,113.915198
Guangzhou People's Middle Road IDC Data Center,"Zhongyu Telecom (Renmin Middle Road), Chang Di Lu Gou Wu Xiu Xian Jie, Yuexiu Qu, Guangzhou Shi, Guangdong Sheng, China",23.1167019,113.253449
Guangdong Nanshayungu Data Center,"Mei De Er Lu, Nansha Qu, Guangzhou Shi, Guangdong Sheng, China",22.7221124,113.5336523
