name,address,latitude,longitude
Shanghai Ouyang Data Center,"Yi Shu Jia Mei Shu Gong Zuo Shi, Franchaise Chain Originality Park Building 1 Block A, Ouyang Road, Hongkou Qu, Shanghai, China",31.266551,121.488522
Shanghai North IDC Data Center,"KTB Bearing （Shanghai） Co., Ltd., Jiangchang 3rd Road, Jingan Qu, Shanghai Shi, China",31.294949,121.438011
Shanghai Jinqiao Data Center,"Jinqiao, Pudong, Shanghai, China",31.266133,121.611248
Shanghai Nanwaitan Data Center,"Shang Hai Tong Xin Guan Li Ju Zhao Biao Tou Biao Guan Li Ban Gong Shi, Shanghai Tongxin Administration Bureau Tendering and Bidding Management Office, Zhongshan South Road, Huangpu Qu, Shanghai, China",31.218747,121.504401
Nanhui IDC Data Center,"China, Shanghai Shi, Pudong, 城西路3号",31.0699605,121.7495334
Shanghai Hengbin IDC Data Center,"Si Chuan Bei Lu, Hongkou Qu, Shanghai Shi, China",31.257328,121.483383
Shanghai Qinzhou IDC Data Center,"Xuhui, Shanghai Shi, China",31.188637,121.436539
Shanghai Hulan IDC Data Center,"Shang Hai Zhong Wu Shi Ye You Xian Gong Si, Shanghai Xinguang Communication Equipment Plant, Hulan Road, Baoshan Qu, Shanghai, China",31.344898,121.451176
Shanghai Shenjia Lane IDC Data Center,"Pudong, Shanghai, China",31.221517,121.544379
Shanghai Telecom Caoxi Data Center,"China Telecom Co., Ltd. Shanghai Southern District Telecommunication Bureau Xujiahui Branch, Wan Ti Guan, Xuhui Qu, Shanghai Shi, China",31.1837487,121.4371364
SH5 Yangpu District Data Center,"619 Longchang Road, Yangpu, Shanghai, China",31.2767859,121.541634
SH2 Pudong New Area Data Center,"700 Jinyu Road, Pudong, Shanghai, China",31.246309,121.620621
SH5 Data Center,"Long Chang Lu, Yangpu Qu, China",31.275374,121.5448947
China East-Shanghai,"Shanghai, China",31.230416,121.473701
SH1 Pudong New Area Data Center,"400 Fangchun Road, Pudong, Shanghai, China",31.214146,121.637741
Shanghai Huajing IDC Data Center,"60 Huajing Rd, Pudong, Shanghai, China",31.322155,121.610613
XIY2 Xi'an Data Center,"55 Shi Ji Da Dao, Lujiazui, Pudong, Shanghai, China",31.238498,121.501923
Shanghai Telecom Quiqiao Data Center,"Pudong Security Guard Service General Company No.2 Branch (Guiqiao Road), Pudong Xinqu, Shanghai Shi, China",31.2414564,121.604843
Shanghai Haining Data Center,"Huawei (Jiangxi North Road), Hai Ning Lu, Hongkou Qu, Shanghai Shi, China",31.248951,121.4830631
Information Park Data Center,"Pudong, Shanghai Shi, China",31.221517,121.544379
Shanghai Telecom Guoli Data Center,"China Telecom Shanghai Company Long-Distance Wuxianbu Market Tuozhanchu, Guoli Mansion, Beijing West Road, Jingan Qu, Shanghai Shi, China",31.2273498,121.4479303
SHA5 Shanghai Data Center,"619 Longchang Road, Yangpu District, Shanghai, China, 200090",31.276205,121.541897
Shanghai East Gate IDC Data Center,"Shang Hai Tong Xin Guan Li Ju Zhao Biao Tou Biao Guan Li Ban Gong Shi, Shanghai Tongxin Administration Bureau Tendering and Bidding Management Office, Zhongshan South Road, Huangpu Qu, Shanghai, China",31.218747,121.504401
SH3 Pudong New Area Data Center,"700 Jinyu Road, Pudong, Shanghai, China",31.246309,121.620621
SHA3 Shanghai Data Center,"China, Shanghai, Pudong, 张家浜",31.22841,121.60208
Shanghai Guoding IDC Data Center,"Guoding Rd, Wu Jiao Chang, Yangpu, Shanghai, China",31.2998958,121.5077043
Shanghai Quanhua IDC Data Center,"Pan Duo La Cheng Shi Hang Dong Ka Fei Dian, China Information Technology Center, Fushan Road, Pudong Xinqu, Shanghai, China",31.2243427,121.5317699
Shanghai Fuhua IDC Data Center,"Guo Quan Lu, Wu Jiao Chang, Yangpu Qu, Shanghai Shi, China",31.2896615,121.5102071
Shanghai Hotline Information Building Data Center,"21st Century Tower, Lu Jia Zui, Pudong Xinqu, Shanghai Shi, China",31.2341239,121.509968
Shanghai Jianan Data Center,"55 Jian'an Rd, Jinshan Qu, Shanghai Shi, China, 314211",30.8556073,121.0881835
Shanghai Changxin Caobao Road Data Center,"Shanghai Jingyi Cable Communication Design Institute, Caobao Road, Minhang Qu, Shanghai, China",31.157136,121.375543
SH6 Shanghai Data Center,"898 Xinling Road, Pudong, Shanghai, China",31.31723,121.623306
Shanghai Lujiazui IDC Data Center,"Shanghai Information Tower, Lu Jia Zui, Pudong Xinqu, Shanghai Shi, China",31.2355377,121.5106818
SHA2 Shanghai Data Center,"Zhabei, Shanghai, China, 200443",31.3138344,121.4411019
"GDS SH3, SH4 Data Center","Shang Hai Shi Gong An Ju Wai Gao Qiao Bao Shui Qu Gong An Chu, 3U Building (Huajing Road), Huajing Road, Pudong Xinqu, Shanghai, China",31.320884,121.606972
Shanghai Xingshun Data Center,"Jiading, Shanghai, China",31.375869,121.265374
Shanghai Yunlian IDC Data Center,"Wuming Shengjian (Changli East Road Branch), Pudong Xinqu, Shanghai Shi, China",31.1781316,121.5141392
Shanghai Zhangdong IDC Data Center,"432 Jinqiu Rd, Pudong Xinqu, Shanghai Shi, China, 201205",31.2160139,121.6326719
Shanghai Tongpu IDC Data Center,"Putuo, Shanghai, China",31.24984,121.395555
Shanghai Waigaoqiao Data Center,"Shanghai Lipu Industries Corporation, 泰谷路 Pudong Xinqu, Shanghai Shi, China",31.3364826,121.6053767
SHA3 Shanghai Data Center,"534 Hulan Rd, Baoshan, Shanghai, China",31.3445366,121.4505657
Shanghai Beiai IDC Data Center,"China Telecom, Surfing Mobile Photo Stores (Xianan Road), Bei'ai Road, Pudong Xinqu, Shanghai Shi, China",31.1835211,121.5365225
Shanghai Huma IDC Data Center,"NGS Huma Branch, Huma Road, Baoshan Qu, Shanghai Shi, China",31.340085,121.448446
Shanghai Zhenru IDC Data Center,"Putuo, Shanghai, China",31.24984,121.395555
China East 2-Shanghai,"Shanghai, China",31.230416,121.473701
